,Open,Close
174,17590.19922,17516.30078
175,17456.30078,17213.59961
176,17279.84961,17266.75
177,17370.09961,17463.80078
178,17554.09961,17605.84961
179,17451.0,17374.75
180,17076.15039,16842.80078
181,16933.25,17352.44922
182,17408.44922,17322.19922
183,17396.55078,17304.59961
184,17236.05078,17276.30078
185,17192.25,17206.65039
186,16847.94922,17092.19922
187,17194.5,17063.25
188,16548.90039,16247.9502
189,16515.65039,16658.40039
190,16481.59961,16793.90039
191,16593.09961,16605.94922
192,16723.19922,16498.05078
193,16339.4502,16245.34961
194,15867.9502,15863.15039
195,15747.75,16013.4502
196,16078.0,16345.34961
197,16757.09961,16594.90039
198,16528.80078,16630.44922
199,16633.69922,16871.30078
200,16900.65039,16663.0
201,16876.65039,16975.34961
202,17202.90039,17287.05078
203,17329.5,17117.59961
204,17120.40039,17315.5
205,17405.05078,17245.65039
206,17094.94922,17222.75
207,17289.0,17153.0
208,17181.84961,17222.0
209,17297.19922,17325.30078
210,17468.15039,17498.25
211,17519.19922,17464.75
212,17436.90039,17670.44922
213,17809.09961,18053.40039
214,18080.59961,17957.40039
215,17842.75,17807.65039
216,17723.30078,17639.55078
217,17698.15039,17784.34961
218,17740.90039,17674.94922
219,17584.84961,17530.30078
220,17599.90039,17475.65039
221,17183.44922,17173.65039
222,17258.94922,16958.65039
223,17045.25,17136.55078
224,17234.59961,17392.59961
225,17242.75,17171.94922
226,17009.05078,16953.94922
227,17121.30078,17200.80078
228,17073.34961,17038.40039
229,17189.5,17245.05078
230,17329.25,17102.55078
231,16924.44922,17069.09961
232,17096.59961,16677.59961
233,16854.75,16682.65039
234,16415.55078,16411.25
235,16227.7002,16301.84961
236,16248.90039,16240.04981
237,16270.04981,16167.09961
238,16021.09961,15808.0
239,15977.0,15782.15039
240,15845.09961,15842.29981
241,15912.59961,16259.29981
242,16318.15039,16240.29981
243,15917.40039,15809.40039
244,16043.79981,16266.15039
245,16290.9502,16214.7002
246,16225.54981,16125.15039
247,16196.34961,16025.79981
248,16105.0,16170.15039
